Video ID,Title,Views,Likes,Comments,Thumbnail URL,Extracted Text,Sentiment Polarity,Sentiment Subjectivity,Image Format,Width,Height,Resolution,Aspect Ratio,Brightness,Contrast,Saturation,Hue,Estimated Gamma,Sharpness,White Balance Deviation,Exposure,Face Present,Num Faces,Face Size Ratios,Dominant Emotions
pxqpIo2Uq2I,Lumiere - A Journey in Motion,103,0,0,https://i.ytimg.com/vi/pxqpIo2Uq2I/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,11.544363425925926,15.915710760631137,42.14744212962963,7.501116898148148,4.465236719104584,290.7902662037037,4.198668981481481,11.544363425925926,True,1,0.0675,error
JlCmO5aO4e0,Introducing Carnival Collection | By Rare Rabbit,18,0,0,https://i.ytimg.com/vi/JlCmO5aO4e0/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,32.82351273148148,30.766042061698464,57.25036458333334,87.21171296296296,2.957695699429931,346.38325231468076,9.89294560185185,32.82351273148148,True,1,0.0169,error
n3_QaK2emsg,Fall into Fashion: Rare Rabbit&#39;s End-of-Season Sale Unveils Unbeatable Deals!,3570,21,0,https://i.ytimg.com/vi/n3_QaK2emsg/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,61.98861111111111,59.06934002067735,13.623570601851851,21.40504050925926,2.0404221620009753,566.9741202866458,4.0003182870370395,61.98861111111111,True,1,0.0208,error
MqiHHy0xZu4,Rare Rabbit&#39;s End-of-Season Sale Unveils Unbeatable Deals!,1068,6,0,https://i.ytimg.com/vi/MqiHHy0xZu4/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,25.558900462962963,29.79751812300847,130.45006944444444,17.775717592592592,3.3185995687050207,573.6904443021461,19.770353009259257,25.558900462962963,True,1,0.0252,error
qF-KpP6RWj0,Winter Layering AW24 | Rare Rabbit,35362,106,0,https://i.ytimg.com/vi/qF-KpP6RWj0/hqdefault.jpg,"Sat —]
a",0.0,0.0,JPEG,480,360,172800,1.3333333333333333,68.10791087962963,57.98110458023294,147.06601851851852,93.35152199074074,1.9046029618844627,374.0569760640378,42.388755787037034,68.10791087962963,False,0,,
1BXVOv0Qm6g,Winter Layering AW24 | Rare Rabbit,19609,28,0,https://i.ytimg.com/vi/1BXVOv0Qm6g/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,77.47122106481481,66.40412666027338,67.00680555555556,98.81001157407407,1.7187648630411416,679.4754113585338,8.46252314814815,77.47122106481481,False,0,,
uzjWBE4U4Ck,Winter Layering AW24 | Rare Rabbit,429778,212,0,https://i.ytimg.com/vi/uzjWBE4U4Ck/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,105.53183449074074,68.29557717425924,31.712268518518517,33.87758680555555,1.272818982426195,752.4336616028751,10.107887731481483,105.53183449074074,True,1,0.0075,error
5Lw1VkhG-1A,Winter Layering AW24 | Rare Rabbit,5708116,87,0,https://i.ytimg.com/vi/5Lw1VkhG-1A/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,53.26694444444445,38.31423213614099,50.23391782407408,35.612800925925924,2.2591848161180437,317.0328583140432,4.334039351851857,53.26694444444445,False,0,,
t2G9ioS5sSs,Winter Layering AW24 | Rare Rabbit,166361,253,0,https://i.ytimg.com/vi/t2G9ioS5sSs/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,92.8334375,58.564758593058535,63.228732638888886,18.736765046296295,1.4577808014179094,255.93361154242618,25.560815972222215,92.8334375,True,1,0.0230,error
qpeaP0lUa5o,The English Oxford,40552,36,0,https://i.ytimg.com/vi/qpeaP0lUa5o/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,94.03203703703704,86.30049067775252,74.38615162037037,44.57092013888889,1.439272970287996,769.8018915461032,5.943547453703701,94.03203703703704,True,2,"0.0117,0.0300","error,error"
